1 1 -1.582449916E+01
1 2  3.473982226E+00
1 3 -2.994052784E+00
1 4 -9.817343989E-03
1 5  4.727848002E-13
1 6  3.014235750E-12
1 7 -2.645876007E-03
1 8  2.897778002E-14
1 9  1.848493215E-13
1 10 -1.102643974E-03
1 11 -4.463304994E-12
1 12 -2.844844006E-11
1 13  7.980384593E-16
1 14 -8.654859105E-10
1 15 -1.964566663E-04
1 16 -2.925031138E-03
1 17 -1.505091628E-01
1 18  5.613370583E-03
1 19  2.216922634E-14
1 20  1.413226855E-13
1 21  5.282808052E-01
1 22 -3.027299956E-13
1 23 -1.929549368E-12
1 24 -9.807939808E-03
1 25  1.451665415E-13
1 26  9.251586058E-13
1 27  4.690945501E-18
1 28 -5.607262284E-12
2 1  3.473982226E+00
2 2 -1.521160008E+00
2 3 -3.207515592E-01
2 4  4.416222694E-02
2 5 -3.880840917E-12
2 6 -2.473586265E-11
2 7  1.237942878E-02
2 8 -4.788868718E-12
2 9 -3.052301536E-11
2 10 -9.225986117E-03
2 11 -5.454848930E-12
2 12 -3.476728051E-11
2 13  5.686528973E-16
2 14 -6.096284055E-10
2 15 -2.925031142E-03
2 16 -4.284346871E-02
2 17 -1.311633456E-01
2 18  8.382220504E-02
2 19 -3.768203387E-12
2 20 -2.401721102E-11
2 21  2.436832578E-01
2 22 -5.850575559E-12
2 23 -3.728971564E-11
2 24 -9.173271333E-02
2 25  1.654854727E-12
2 26  1.054742781E-11
2 27 -4.883300209E-18
2 28 -1.522694535E-12
3 1 -2.994052784E+00
3 2 -3.207515592E-01
3 3 -1.378508341E+00
3 4  9.388588878E-03
3 5 -3.104848531E-12
3 6 -1.978951441E-11
3 7 -6.441905730E-02
3 8 -4.013020680E-12
3 9 -2.557779394E-11
3 10 -2.416779928E-02
3 11 -6.814597223E-12
3 12 -4.343423053E-11
3 13  9.174035411E-16
3 14 -9.992305710E-10
3 15 -1.505091628E-01
3 16 -1.311633454E-01
3 17 -2.949449364E-01
3 18  1.560561611E-01
3 19  6.410278074E-12
3 20  4.085741939E-11
3 21  4.117434890E-01
3 22  1.882580696E-12
3 23  1.199920170E-11
3 24 -5.404600319E-02
3 25  1.637137950E-13
3 26  1.043230331E-12
3 27 -1.854195549E-16
3 28  1.864260906E-10
4 1 -9.817343989E-03
4 2  4.416222694E-02
4 3  9.388588878E-03
4 4 -2.673515612E-02
4 5 -9.908555389E-11
4 6 -6.315414204E-10
4 7 -4.641971579E-01
4 8 -6.747208670E-11
4 9 -4.300467362E-10
4 10 -4.264053226E-02
4 11 -2.106098816E-12
4 12 -1.342342681E-11
4 13  7.086582739E-17
4 14 -8.268906776E-11
4 15 -5.613370575E-03
4 16 -8.382220470E-02
4 17 -1.560561615E-01
4 18  1.884259677E-01
4 19  5.812080966E-12
4 20  3.704479398E-11
4 21  2.791713862E-01
4 22 -4.673276604E-12
4 23 -2.978540213E-11
4 24 -1.231405159E-01
4 25  2.431431757E-12
4 26  1.549706827E-11
4 27 -4.648935051E-17
4 28  4.717022306E-11
5 1  4.727848002E-13
5 2 -3.880840917E-12
5 3 -3.104848531E-12
5 4 -9.908555389E-11
5 5  5.471450883E-03
5 6 -1.955034372E-08
5 7 -6.443709032E-11
5 8 -4.129345674E-01
5 9 -1.363908249E-08
5 10 -5.231193404E-13
5 11 -2.051775741E-02
5 12 -2.693681612E-10
5 13 -5.261721312E-13
5 14 -3.353546064E-12
5 15 -2.217708948E-14
5 16  3.768157371E-12
5 17 -6.410344445E-12
5 18  5.812069459E-12
5 19 -1.084771810E-01
5 20  1.441104316E-16
5 21  2.665503319E-11
5 22 -1.590237310E-01
5 23 -1.852704226E-09
5 24 -8.732388110E-12
5 25  4.909738677E-02
5 26  6.739822727E-10
5 27 -6.637625514E-14
5 28 -4.229658029E-13
6 1  3.014235750E-12
6 2 -2.473586265E-11
6 3 -1.978951441E-11
6 4 -6.315414204E-10
6 5 -1.955034372E-08
6 6  5.471450883E-03
6 7 -4.107028910E-10
6 8 -1.363908257E-08
6 9 -4.129345674E-01
6 10 -3.334084165E-12
6 11 -2.693682388E-10
6 12 -2.051775741E-02
6 13  3.353503712E-12
6 14 -5.261860482E-13
6 15 -1.414444057E-13
6 16  2.401705496E-11
6 17 -4.085764068E-11
6 18  3.704480130E-11
6 19 -2.304504409E-16
6 20 -1.084771810E-01
6 21  1.698913144E-10
6 22 -1.852704588E-09
6 23 -1.590237310E-01
6 24 -5.565791002E-11
6 25  6.739823211E-10
6 26  4.909738677E-02
6 27  4.229874707E-13
6 28 -6.636184559E-14
7 1 -2.645876007E-03
7 2  1.237942878E-02
7 3 -6.441905730E-02
7 4 -4.641971579E-01
7 5 -6.443709032E-11
7 6 -4.107028910E-10
7 7 -1.396862147E-01
7 8 -4.082008771E-11
7 9 -2.601752021E-10
7 10 -6.225858103E-02
7 11 -8.817541097E-13
7 12 -5.619857581E-12
7 13  8.260509027E-17
7 14 -1.000572792E-10
7 15 -5.282808051E-01
7 16 -2.436832572E-01
7 17 -4.117434889E-01
7 18  2.791713845E-01
7 19  2.665502697E-11
7 20  1.698912979E-10
7 21  1.425984745E-01
7 22  1.353974422E-11
