1	1	1	1	5.353727795553766
2	1	1	1	-1.808521331190226
2	1	2	1	0.663387070387236
2	2	1	1	2.061900694763623
2	2	2	1	-0.572070694154828
2	2	2	2	1.310623382243425
3	1	1	1	0.678006067091415
3	1	2	1	-0.201033825173432
3	1	2	2	0.327686143491275
3	1	3	1	0.100873779274479
3	2	1	1	0.740863226804814
3	2	2	1	-0.142941219594699
3	2	2	2	0.720943505125129
3	2	3	1	0.151454579044062
3	2	3	2	0.475756867154516
3	3	1	1	0.985644597282089
3	3	2	1	-0.219058085526248
3	3	2	2	0.866130242475345
3	3	3	1	0.186434746700668
3	3	3	2	0.564283267197610
3	3	3	3	0.704401483944556
4	1	4	1	0.076529969794919
4	2	4	1	0.058480612710921
4	2	4	2	0.202508296503542
4	3	4	1	0.061640756240531
4	3	4	2	0.164484387795746
4	3	4	3	0.142648573417683
4	4	1	1	1.650016042019375
4	4	2	1	-0.388229898676488
4	4	2	2	1.225301599280194
4	4	3	1	0.299423197057623
4	4	3	2	0.730411952244479
4	4	3	3	0.861199744310068
4	4	4	4	1.308894530933226
5	1	5	1	0.076529969794919
5	2	5	1	0.058480612710921
5	2	5	2	0.202508296503542
5	3	5	1	0.061640756240531
5	3	5	2	0.164484387795746
5	3	5	3	0.142648573417683
5	4	5	4	0.070260701241604
5	5	1	1	1.650016042019376
5	5	2	1	-0.388229898676488
5	5	2	2	1.225301599280195
5	5	3	1	0.299423197057623
5	5	3	2	0.730411952244479
5	5	3	3	0.861199744310068
5	5	4	4	1.168373128450019
5	5	5	5	1.308894530933227
6	1	6	1	0.076529969794919
6	2	6	1	0.058480612710921
6	2	6	2	0.202508296503542
6	3	6	1	0.061640756240531
6	3	6	2	0.164484387795746
6	3	6	3	0.142648573417683
6	4	6	4	0.070260701241604
6	5	6	5	0.070260701241604
6	6	1	1	1.650016042019376
6	6	2	1	-0.388229898676488
6	6	2	2	1.225301599280195
6	6	3	1	0.299423197057623
6	6	3	2	0.730411952244479
6	6	3	3	0.861199744310068
6	6	4	4	1.168373128450019
6	6	5	5	1.168373128450019
6	6	6	6	1.308894530933227
7	1	4	1	0.007225786121878
7	1	4	2	0.008904710367899
7	1	4	3	0.008211092081461
7	1	7	1	0.000762974909374
7	2	4	1	0.022050193778451
7	2	4	2	0.084960569161831
7	2	4	3	0.074019847534002
7	2	7	1	0.003403523142161
7	2	7	2	0.041300450251450
7	3	4	1	0.025155410625208
7	3	4	2	0.106936481470056
7	3	4	3	0.100728384288305
7	3	7	1	0.004026677542784
7	3	7	2	0.059750113623898
7	3	7	3	0.107008253633700
7	4	1	1	0.527468254151758
7	4	2	1	-0.115666151550493
7	4	2	2	0.467614344204595
7	4	3	1	0.100553199595777
7	4	3	2	0.303345790529781
7	4	3	3	0.371154244587959
7	4	4	4	0.498892115041623
7	4	5	5	0.448838660524552
7	4	6	6	0.448838660524552
7	4	7	4	0.213899558562342
7	5	5	4	0.025026727258535
7	5	7	5	0.012316262823119
7	6	6	4	0.025026727258535
7	6	7	6	0.012316262823119
7	7	1	1	0.626637830394321
7	7	2	1	-0.133466640287818
7	7	2	2	0.614050967592520
7	7	3	1	0.122047261579664
7	7	3	2	0.424193146920985
7	7	3	3	0.563190445730297
7	7	4	4	0.640861795583666
7	7	5	5	0.598785045102263
7	7	6	6	0.598785045102263
7	7	7	4	0.307926767868665
7	7	7	7	0.542909193295240
8	1	5	1	0.007225786121878
8	1	5	2	0.008904710367899
8	1	5	3	0.008211092081461
8	1	8	1	0.000762974909374
8	2	5	1	0.022050193778451
8	2	5	2	0.084960569161831
8	2	5	3	0.074019847534002
8	2	8	1	0.003403523142161
8	2	8	2	0.041300450251450
8	3	5	1	0.025155410625208
8	3	5	2	0.106936481470056
8	3	5	3	0.100728384288305
8	3	8	1	0.004026677542784
8	3	8	2	0.059750113623898
8	3	8	3	0.107008253633700
8	4	5	4	0.025026727258535
8	4	7	5	0.012316262823119
8	4	8	4	0.012316262823119
8	5	1	1	0.527468254151758
8	5	2	1	-0.115666151550493
8	5	2	2	0.467614344204596
8	5	3	1	0.100553199595777
8	5	3	2	0.303345790529781
8	5	3	3	0.371154244587959
8	5	4	4	0.448838660524552
8	5	5	5	0.498892115041623
8	5	6	6	0.448838660524552
8	5	7	4	0.189267032916104
8	5	7	7	0.277713964944995
8	5	8	5	0.213899558562343
8	6	6	5	0.025026727258535
8	6	8	6	0.012316262823119
8	7	5	4	0.021038375240702
8	7	7	5	0.015106401461835
8	7	8	4	0.015106401461835
8	7	8	7	0.033239338365015
8	8	1	1	0.626637830394321
8	8	2	1	-0.133466640287818
8	8	2	2	0.614050967592520
8	8	3	1	0.122047261579665
8	8	3	2	0.424193146920985
8	8	3	3	0.563190445730297
8	8	4	4	0.598785045102263
8	8	5	5	0.640861795583667
8	8	6	6	0.598785045102263
8	8	7	4	0.277713964944995
8	8	7	7	0.476430516565211
8	8	8	5	0.307926767868665
8	8	8	8	0.542909193295240
9	1	6	1	0.007225786121878
9	1	6	2	0.008904710367899
9	1	6	3	0.008211092081461
9	1	9	1	0.000762974909374
9	2	6	1	0.022050193778451
9	2	6	2	0.084960569161831
9	2	6	3	0.074019847534002
9	2	9	1	0.003403523142161
9	2	9	2	0.041300450251450
9	3	6	1	0.025155410625208
9	3	6	2	0.106936481470056
9	3	6	3	0.100728384288305
9	3	9	1	0.004026677542784
9	3	9	2	0.059750113623898
9	3	9	3	0.107008253633700
9	4	6	4	0.025026727258535
9	4	7	6	0.012316262823119
9	4	9	4	0.012316262823119
9	5	6	5	0.025026727258535
